EQUIPO,PJ,PG,PP,NP,PF,PC,DP,puntos
GEVP CELESTE B,12,12,0,0,834,333,501,24
CLARIDAD,12,12,0,0,964,541,423,24
ITALIANO B,12,11,1,0,956,509,447,23
FERROCARRIL OESTE BLANCO (B),12,11,1,0,852,420,432,23
EL TALAR,12,11,1,0,819,602,217,23
FERROCARRIL OESTE VERDE (A),11,11,0,0,1305,425,880,22
ARMENIA,11,11,0,0,891,357,534,22
VELEZ SARSFIELD AZUL - B,12,9,3,0,767,450,317,21
ARQUITECTURA NEGRO A,12,9,3,0,999,775,224,21
JOSE HERNANDEZ A,12,9,3,0,725,607,118,21
SAN LORENZO AZUL,12,9,3,0,817,711,106,21
CLUB ATLETICO HURACAN DE PARQUE PATRICIOS,12,9,3,0,524,552,-28,21
PINOCHO,11,9,2,0,867,594,273,20
PINOCHO BLANCO,12,8,4,0,628,533,95,20
SAN LORENZO ROJO B,11,8,3,0,639,442,197,19
NOLTING,12,7,5,0,670,655,15,19
ESTRELLA DE BOEDO,11,7,4,0,660,434,226,18
ITALIANO,11,7,4,0,770,661,109,18
ARQUITECTURA BLANCO B,12,6,6,0,603,648,-45,18
"DEPORTIVO CROVARA  ""A""",12,6,6,0,661,710,-49,18
FERROCARRIL OESTE NARANJA (C),12,5,7,0,534,667,-133,17
PEDRO ECHAGUE AZUL A,12,5,7,0,659,823,-164,17
PEDRO ECHAGUE AMARILLO B,11,5,6,0,418,523,-105,16
COLEGIALES NEGRO,12,4,8,0,527,665,-138,16
DEPORTIVO CROVARA B,12,4,8,0,456,646,-190,16
MACABI,12,4,8,0,570,990,-420,16
ALL BOYS DE SAAVEDRA,11,4,7,0,466,584,-118,15
ALL BOYS BLANCO,12,3,9,0,692,820,-128,15
ALDO BONZI,12,3,9,0,647,786,-139,15
VILLA MITRE,12,3,9,0,620,770,-150,15
JUVENCIA,12,3,9,0,642,842,-200,15
ARGENTINOS JUNIORS,12,3,9,0,604,855,-251,15
IMPERIO BLANCO A,11,3,8,0,563,730,-167,14
COLEGIALES BLANCO,11,3,8,0,618,803,-185,14
"JOSE HERNANDEZ ""B""",12,2,10,0,437,816,-379,14
RACING ANEXO,11,2,9,0,496,644,-148,13
YUPANQUI,12,2,9,1,491,659,-168,13
PINOCHO VERDE,12,1,10,1,354,678,-324,12
NUEVA CHICAGO,11,1,10,0,389,750,-361,12
IMPERIO NEGRO B,12,0,12,0,446,858,-412,12
GEBA,11,1,9,1,373,717,-344,11
UNIVERSIDAD DE LA MATANZA,11,1,9,1,341,709,-368,11
